NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;2:12.389;0;;35.640;0;56.470;0;40.279;0;187.1;2:12.389;13:33:08.423;0:35.640;0:56.470;0:40.279;293.7;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;2;3:31.074;0;;1:08.017;0;1:40.274;0;42.783;0;119.5;5:43.463;13:36:39.497;1:08.017;1:40.274;0:42.783;82.1;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;3;2:48.644;0;;47.092;0;1:15.064;0;46.488;0;149.5;8:32.107;13:39:28.141;0:47.092;1:15.064;0:46.488;221.6;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;4;1:59.545;0;;34.490;0;54.400;0;30.655;0;210.9;10:31.652;13:41:27.686;0:34.490;0:54.400;0:30.655;304.4;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;5;1:59.027;2;;33.939;0;54.554;0;30.534;2;211.8;12:30.679;13:43:26.713;0:33.939;0:54.554;0:30.534;301.8;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;6;1:59.063;0;;34.078;0;54.385;3;30.600;0;211.8;14:29.742;13:45:25.776;0:34.078;0:54.385;0:30.600;301.8;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;7;1:59.117;0;;34.007;0;54.512;0;30.598;0;211.7;16:28.859;13:47:24.893;0:34.007;0:54.512;0:30.598;306.1;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;8;1:59.961;0;;34.036;0;55.289;0;30.636;0;210.2;18:28.820;13:49:24.854;0:34.036;0:55.289;0:30.636;292.1;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;9;2:02.992;0;;34.017;0;57.646;0;31.329;0;205.0;20:31.812;13:51:27.846;0:34.017;0:57.646;0:31.329;298.5;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;10;2:00.144;0;;34.448;0;54.885;0;30.811;0;209.9;22:31.956;13:53:27.990;0:34.448;0:54.885;0:30.811;305.2;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;11;2:01.938;0;;34.523;0;56.183;0;31.232;0;206.8;24:33.894;13:55:29.928;0:34.523;0:56.183;0:31.232;278.6;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;12;1:59.403;0;;34.098;0;54.580;0;30.725;0;211.2;26:33.297;13:57:29.331;0:34.098;0:54.580;0:30.725;302.7;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;13;2:00.047;0;;34.146;0;55.103;0;30.798;0;210.0;28:33.344;13:59:29.378;0:34.146;0:55.103;0:30.798;304.4;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;14;2:00.166;0;;34.120;0;55.413;0;30.633;0;209.8;30:33.510;14:01:29.544;0:34.120;0:55.413;0:30.633;301.0;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;15;2:00.146;0;;34.016;0;55.354;0;30.776;0;209.9;32:33.656;14:03:29.690;0:34.016;0:55.354;0:30.776;301.8;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;16;2:02.323;0;;34.719;0;56.586;0;31.018;0;206.1;34:35.979;14:05:32.013;0:34.719;0:56.586;0:31.018;300.2;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;17;1:59.811;0;;34.271;0;54.855;0;30.685;0;210.4;36:35.790;14:07:31.824;0:34.271;0:54.855;0:30.685;301.8;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;18;2:08.036;0;B;35.105;0;55.829;0;37.102;0;196.9;38:43.826;14:09:39.860;0:35.105;0:55.829;0:37.102;299.3;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;19;2:56.219;0;;1:27.984;0;57.343;0;30.892;0;143.1;41:40.045;14:12:36.079;1:27.984;0:57.343;0:30.892;303.5;André LOTTERER;0:01:04.267;LMP1;;Rebellion Racing;Rebellion;
1;2;20;2:03.383;0;;34.190;0;58.227;0;30.966;0;204.4;43:43.428;14:14:39.462;0:34.190;0:58.227;0:30.966;311.4;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;21;2:03.674;0;;34.456;0;57.291;0;31.927;0;203.9;45:47.102;14:16:43.136;0:34.456;0:57.291;0:31.927;299.3;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;22;2:02.259;0;;34.366;0;56.663;0;31.230;0;206.2;47:49.361;14:18:45.395;0:34.366;0:56.663;0:31.230;300.2;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;23;2:03.226;0;;35.335;0;56.523;0;31.368;0;204.6;49:52.587;14:20:48.621;0:35.335;0:56.523;0:31.368;297.7;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;24;2:02.747;0;;34.377;0;57.150;0;31.220;0;205.4;51:55.334;14:22:51.368;0:34.377;0:57.150;0:31.220;301.8;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;25;2:00.553;0;;34.188;0;55.430;0;30.935;0;209.2;53:55.887;14:24:51.921;0:34.188;0:55.430;0:30.935;298.5;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;26;2:00.394;0;;34.292;0;55.270;0;30.832;0;209.4;55:56.281;14:26:52.315;0:34.292;0:55.270;0:30.832;300.2;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;27;2:00.935;0;;34.685;0;55.408;0;30.842;0;208.5;57:57.216;14:28:53.250;0:34.685;0:55.408;0:30.842;296.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;28;2:00.240;0;;34.206;0;55.231;0;30.803;0;209.7;59:57.456;14:30:53.490;0:34.206;0:55.231;0:30.803;308.7;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;29;2:02.537;0;;34.367;0;57.098;0;31.072;0;205.8;1:01:59.993;14:32:56.027;0:34.367;0:57.098;0:31.072;296.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;30;2:15.043;0;;34.807;0;1:02.448;0;37.788;0;186.7;1:04:15.036;14:35:11.070;0:34.807;1:02.448;0:37.788;301.0;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
