POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;DRIVER_5;
1;8;Toyota Gazoo Racing;Sébastien BUEMI;Kazuki NAKAJIMA;Fernando ALONSO;;Toyota TS050 - Hybrid;M;LMP1;H;;Classified;388;24:00'52.247;;;5;3'17.658;248.2;;
2;7;Toyota Gazoo Racing;Mike CONWAY;Kamui KOBAYASHI;Jose Maria LOPEZ;;Toyota TS050 - Hybrid;M;LMP1;H;;Classified;386;24:00'52.478;2 Laps;2 Laps;323;3'17.980;247.8;;
3;3;Rebellion Racing;Thomas LAURENT;Mathias BECHE;Gustavo MENEZES;;Rebellion R13 - Gibson;M;LMP1;;;Classified;376;24:02'32.484;12 Laps;10 Laps;327;3'20.316;244.9;;
4;1;Rebellion Racing;André LOTTERER;Neel JANI;Bruno SENNA;;Rebellion R13 - Gibson;M;LMP1;;;Classified;375;24:02'32.580;13 Laps;1 Laps;82;3'20.046;245.2;;
5;36;Signatech Alpine Matmut;Nicolas LAPIERRE;André NEGRÃO;Pierre THIRIET;;Alpine A470 - Gibson;D;LMP2;;;Classified;367;24:03'11.085;21 Laps;8 Laps;246;3'28.610;235.1;;
6;39;Graff-SO24;Vincent CAPILLAIRE;Jonathan HIRSCHI;Tristan GOMMENDY;;Oreca 07 - Gibson;D;LMP2;;;Classified;366;24:01'46.746;22 Laps;1 Laps;365;3'28.135;235.7;;
7;32;United Autosports;Hugo DE SADELEER;Will OWEN;Juan Pablo MONTOYA;;Ligier JSP217 - Gibson;D;LMP2;;;Classified;365;24:03'13.589;23 Laps;1 Laps;245;3'28.661;235.1;;
8;37;Jackie Chan DC Racing;Jazeman JAAFAR;Nabil JEFFRI;Weiron TAN;;Oreca 07 - Gibson;D;LMP2;;;Classified;361;24:02'36.708;27 Laps;4 Laps;88;3'29.112;234.6;;
9;31;DragonSpeed;Roberto GONZALEZ;Pastor MALDONADO;Nathanaël BERTHON;;Oreca 07 - Gibson;M;LMP2;;;Classified;360;24:03'09.415;28 Laps;1 Laps;239;3'27.200;236.7;;
10;38;Jackie Chan DC Racing;Ho-Pin TUNG;Stéphane RICHELMI;Gabriel AUBRY;;Oreca 07 - Gibson;D;LMP2;;;Classified;356;24:02'00.392;32 Laps;4 Laps;288;3'29.011;234.7;;
11;29;Racing Team Nederland;Frits VAN EERD;Giedo VAN DER GARDE;Jan LAMMERS;;Dallara P217 - Gibson;M;LMP2;;;Classified;356;24:02'27.489;32 Laps;27.097;6;3'29.754;233.9;;
12;33;Jackie Chan DC Racing;David CHENG;Nicholas BOULLE;Pierre NICOLET;;Ligier JSP217 - Gibson;D;LMP2;;;Classified;355;24:00'54.049;33 Laps;1 Laps;311;3'33.492;229.8;;
13;23;Panis Barthez Competition;Timothé BURET;Julien CANAL;William STEVENS;;Ligier JSP217 - Gibson;M;LMP2;;;Classified;352;24:02'59.009;36 Laps;3 Laps;228;3'27.872;236.0;;
14;35;SMP Racing;Victor SHAITAR;Harrison NEWEY;Norman NATO;;Dallara P217 - Gibson;D;LMP2;;;Classified;345;24:00'53.375;43 Laps;7 Laps;314;3'29.188;234.5;;
15;92;Porsche GT Team;Michael CHRISTENSEN;Kevin ESTRE;Laurens VANTHOOR;;Porsche 911 RSR;M;LMGTE Pro;;;Classified;344;24:04'16.546;44 Laps;1 Laps;2;3'50.406;212.9;;
16;91;Porsche GT Team;Richard LIETZ;Gianmaria BRUNI;Frédéric MAKOWIECKI;;Porsche 911 RSR;M;LMGTE Pro;;;Classified;343;24:01'08.216;45 Laps;1 Laps;292;3'50.201;213.1;;
17;68;Ford Chip Ganassi Team USA;Joey HAND;Dirk MÜLLER;Sébastien BOURDAIS;;Ford GT;M;LMGTE Pro;;;Classified;343;24:01'34.945;45 Laps;26.729;2;3'50.108;213.2;;
18;63;Corvette Racing;Jan MAGNUSSEN;Antonio GARCIA;Mike ROCKENFELLER;;Chevrolet Corvette C7.R;M;LMGTE Pro;;;Classified;342;24:01'04.003;46 Laps;1 Laps;296;3'49.448;213.8;;
19;47;Cetilar Villorba Corse;Roberto LACORTE;Giorgio SERNAGIOTTO;Luis Felipe NASR;;Dallara P217 - Gibson;D;LMP2;;;Classified;342;24:01'08.648;46 Laps;4.645;321;3'29.578;234.1;;
20;52;AF Corse;Toni VILANDER;Antonio GIOVINAZZI;Luis Felipe DERANI;;Ferrari 488 GTE EVO;M;LMGTE Pro;;;Classified;341;24:01'58.152;47 Laps;1 Laps;253;3'50.569;212.8;;
21;66;Ford Chip Ganassi Team UK;Stefan MÜCKE;Olivier PLA;Billy JOHNSON;;Ford GT;M;LMGTE Pro;;;Classified;340;24:02'47.200;48 Laps;1 Laps;300;3'50.343;213.0;;
22;51;AF Corse;Alessandro PIER GUIDI;James CALADO;Daniel SERRA;;Ferrari 488 GTE EVO;M;LMGTE Pro;;;Classified;339;24:00'52.927;49 Laps;1 Laps;166;3'50.759;212.6;;
23;95;Aston Martin Racing;Marco SØRENSEN;Nicki THIIM;Darren TURNER;;Aston Martin Vantage AMR;M;LMGTE Pro;;;Classified;339;24:04'25.797;49 Laps;3'32.870;3;3'52.318;211.1;;
24;71;AF Corse;Davide RIGON;Sam BIRD;Miguel MOLINA;;Ferrari 488 GTE EVO;M;LMGTE Pro;;;Classified;338;24:03'42.549;50 Laps;1 Laps;4;3'51.074;212.3;;
25;77;Dempsey - Proton Racing;Matt CAMPBELL;Christian RIED;Julien ANDLAUER;;Porsche 911 RSR;M;LMGTE Am;;;Classified;335;24:02'15.039;53 Laps;3 Laps;276;3'53.521;210.1;;
26;54;Spirit of Race;Thomas FLOHR;Francesco CASTELLACCI;Giancarlo FISICHELLA;;Ferrari F488 GTE;M;LMGTE Am;;;Classified;335;24:03'54.083;53 Laps;1'39.044;2;3'52.715;210.8;;
27;93;Porsche GT Team;Patrick PILET;Nick TANDY;Earl BAMBER;;Porsche 911 RSR;M;LMGTE Pro;;;Classified;334;24:01'16.697;54 Laps;1 Laps;2;3'50.539;212.8;;
28;85;Keating Motorsports;Ben KEATING;Jeroen BLEEKEMOLEN;Luca STOLZ;;Ferrari F488 GTE;M;LMGTE Am;;;Classified;334;24:01'45.791;54 Laps;29.094;3;3'53.528;210.1;;
29;99;Proton Competition;Patrick LONG;Timothy PAPPAS;Spencer PUMPELLY;;Porsche 911 RSR;M;LMGTE Am;;;Classified;334;24:03'08.602;54 Laps;1'22.811;291;3'53.249;210.3;;
30;84;JMW Motorsport;Liam GRIFFIN;Cooper MACNEIL;Jeffrey SEGAL;;Ferrari F488 GTE;M;LMGTE Am;;;Classified;332;24:00'52.819;56 Laps;2 Laps;331;3'53.575;210.0;;
31;80;Ebimotors;Fabio BABINI;Christina NIELSEN;Erik MARIS;;Porsche 911 RSR;M;LMGTE Am;;;Classified;332;24:00'55.691;56 Laps;2.872;207;3'54.309;209.4;;
32;50;Larbre Competition;Erwin CREED;Romano RICCI;Thomas DAGONEAU;;Ligier JSP217 - Gibson;M;LMP2;;;Classified;332;24:00'57.572;56 Laps;1.881;95;3'35.864;227.2;;
33;81;BMW Team MTEK;Martin TOMCZYK;Nicky CATSBURG;Philipp ENG;;BMW M8 GTE;M;LMGTE Pro;;;Classified;332;24:01'16.446;56 Laps;18.874;146;3'50.834;212.5;;
34;56;Team Project 1;Jörg BERGMEISTER;Patrick LINDSEY;Egidio PERFETTI;;Porsche 911 RSR;M;LMGTE Am;;;Classified;332;24:01'29.845;56 Laps;13.399;278;3'53.306;210.3;;
35;61;Clearwater Racing;Weng Sun MOK;Matthew GRIFFIN;Keita SAWA;;Ferrari F488 GTE;M;LMGTE Am;;;Classified;332;24:03'25.318;56 Laps;1'55.473;332;3'53.396;210.2;;
36;67;Ford Chip Ganassi Team UK;Andy PRIAULX;Harry TINCKNELL;Tony KANAAN;;Ford GT;M;LMGTE Pro;;;Classified;332;24:04'31.007;56 Laps;1'05.689;328;3'50.180;213.1;;
37;97;Aston Martin Racing;Alexander LYNN;Maxime MARTIN;Jonathan ADAM;;Aston Martin Vantage AMR;M;LMGTE Pro;;;Classified;327;24:01'48.484;61 Laps;5 Laps;3;3'53.114;210.4;;
38;70;MR Racing;Motoaki ISHIKAWA;Olivier BERETTA;Edward CHEEVER;;Ferrari F488 GTE;M;LMGTE Am;;;Classified;324;24:01'42.198;64 Laps;3 Laps;267;3'54.310;209.4;;
39;69;Ford Chip Ganassi Team USA;Ryan BRISCOE;Richard WESTBROOK;Scott DIXON;;Ford GT;M;LMGTE Pro;;;Classified;309;24:03'34.795;79 Laps;15 Laps;300;3'50.200;213.1;;
40;86;Gulf Racing;Michael WAINWRIGHT;Benjamin BARKER;Alex DAVISON;;Porsche 911 RSR;M;LMGTE Am;;;Classified;283;24:00'56.772;105 Laps;26 Laps;3;3'52.600;210.9;;
41;5;CEFC TRSM Racing;Charles ROBERTSON;Michael SIMPSON;Leo ROUSSEL;;Ginetta G60-LT-P1 - Mecachrome;M;LMP1;;;Classified;283;24:05'40.979;105 Laps;4'44.207;250;3'25.390;238.8;;
42;44;Eurasia Motorsport;Andrea BERTOLINI;Niclas JÖNSSON;Tracy KROHN;;Ligier JSP217 - Gibson;D;LMP2;;;Not classified;334;22:38'36.227;54 Laps;-51 Laps;305;3'33.487;229.8;;
43;11;SMP Racing;Vitaly PETROV;Mikhail ALESHIN;Jenson BUTTON;;BR Engineering BR1 - AER;M;LMP1;;;Retired;315;23:02'25.286;73 Laps;19 Laps;242;3'20.949;244.1;;
44;48;Idec Sport;Paul LAFARGUE;Paul Loup CHATIN;Memo ROJAS;;Oreca 07 - Gibson;M;LMP2;;;Retired;312;20:46'23.572;76 Laps;3 Laps;280;3'28.572;235.2;;
45;90;TF Sport;Salih YOLUC;Euan HANKEY;Charles EASTWOOD;;Aston Martin Vantage;M;LMGTE Am;;;Retired;304;22:28'19.118;84 Laps;8 Laps;243;3'53.300;210.3;;
46;22;United Autosports;Philip HANSON;Filipe ALBUQUERQUE;Paul DI RESTA;;Ligier JSP217 - Gibson;D;LMP2;;;Retired;288;18:55'51.304;100 Laps;16 Laps;212;3'29.570;234.1;;
47;64;Corvette Racing;Oliver GAVIN;Tommy MILNER;Marcel FÄSSLER;;Chevrolet Corvette C7.R;M;LMGTE Pro;;;Retired;259;18:19'34.039;129 Laps;29 Laps;227;3'50.981;212.4;;
48;10;DragonSpeed;Henrik HEDMAN;Ben HANLEY;Renger VAN DER ZANDE;;BR Engineering BR1 - Gibson;M;LMP1;;;Retired;244;16:25'47.365;144 Laps;15 Laps;4;3'22.064;242.8;;
49;25;Algarve Pro Racing;Mark PATTERSON;Ate DE JONG;Tacksung KIM;;Ligier JSP217 - Gibson;D;LMP2;;;Retired;237;20:25'57.494;151 Laps;7 Laps;234;3'37.637;225.4;;
50;88;Dempsey - Proton Racing;Matteo CAIROLI;Khaled AL QUBAISI;Giorgio RODA;;Porsche 911 RSR;M;LMGTE Am;;;Retired;225;15:59'06.981;163 Laps;12 Laps;3;3'53.268;210.3;;
51;82;BMW Team MTEK;Augusto FARFUS;Antonio Felix DA COSTA;Alexander SIMS;;BMW M8 GTE;M;LMGTE Pro;;;Retired;223;15:31'09.255;165 Laps;2 Laps;100;3'50.712;212.6;;
52;40;G-Drive Racing;James ALLEN;Jose GUTIERREZ;Enzo GUIBBERT;;Oreca 07 - Gibson;D;LMP2;;;Retired;197;12:50'35.063;191 Laps;26 Laps;47;3'28.861;234.9;;
53;34;Jackie Chan DC Racing;Ricky TAYLOR;Côme LEDOGAR;David HEINEMEIER-HANSSON;;Ligier JSP217 - Gibson;D;LMP2;;;Retired;195;12:45'23.339;193 Laps;2 Laps;37;3'29.984;233.6;;
54;6;CEFC TRSM Racing;Oliver ROWLAND;Alex BRUNDLE;Oliver TURVEY;;Ginetta G60-LT-P1 - Mecachrome;M;LMP1;;;Retired;137;9:43'18.738;251 Laps;58 Laps;3;3'24.444;239.9;;
55;17;SMP Racing;Stéphane SARRAZIN;Egor ORUDZHEV;Matevos ISAAKYAN;;BR Engineering BR1 - AER;M;LMP1;;;Retired;123;7:52'57.094;265 Laps;14 Laps;4;3'20.335;244.9;;
56;94;Porsche GT Team;Romain DUMAS;Timo BERNHARD;Sven MÜLLER;;Porsche 911 RSR;M;LMGTE Pro;;;Retired;92;6:40'01.244;296 Laps;31 Laps;88;3'51.192;212.2;;
57;98;Aston Martin Racing;Paul DALLA LANA;Pedro LAMY;Mathias LAUDA;;Aston Martin Vantage;M;LMGTE Am;;;Retired;92;6:46'10.156;296 Laps;6'08.912;38;3'55.273;208.5;;
58;4;Bykolles Racing Team;Oliver WEBB;Dominik KRAIHAMER;Tom DILLMANN;;Enso CLM P1/01 - Nismo;M;LMP1;;;Retired;65;4:12'59.555;323 Laps;27 Laps;49;3'25.869;238.3;;
59;26;G-Drive Racing;Roman RUSINOV;Andrea PIZZITOLA;Jean-Eric VERGNE;;Oreca 07 - Gibson;D;LMP2;;;Classified;369;24:01'07.299;19 Laps;-304 Laps;200;3'28.196;235.6;;
60;28;TDS Racing;François PERRODO;Matthieu VAXIVIERE;Loïc DUVAL;;Oreca 07 - Gibson;D;LMP2;;;Classified;365;24:03'07.473;23 Laps;4 Laps;278;3'27.258;236.7;;
