NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;1:59.892;0;;42.426;0;48.620;0;28.846;0;172.9;1:59.892;12:02:26.664;0:42.426;0:48.620;0:28.846;279.8;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;2;1:44.721;0;;32.094;0;43.370;0;29.257;0;202.9;3:44.613;12:04:11.385;0:32.094;0:43.370;0:29.257;284.2;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;3;1:44.691;0;;32.187;0;44.111;0;28.393;0;202.9;5:29.304;12:05:56.076;0:32.187;0:44.111;0:28.393;280.5;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;4;1:42.651;0;;31.809;0;42.641;1;28.201;0;206.9;7:11.955;12:07:38.727;0:31.809;0:42.641;0:28.201;282.7;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;5;1:42.837;0;;31.734;0;42.979;0;28.124;0;206.6;8:54.792;12:09:21.564;0:31.734;0:42.979;0:28.124;282.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;6;1:43.014;0;;31.970;0;42.810;0;28.234;0;206.2;10:37.806;12:11:04.578;0:31.970;0:42.810;0:28.234;282.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;7;1:47.487;0;;32.372;0;45.996;0;29.119;0;197.6;12:25.293;12:12:52.065;0:32.372;0:45.996;0:29.119;280.5;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;8;1:44.986;0;;32.636;0;43.523;0;28.827;0;202.3;14:10.279;12:14:37.051;0:32.636;0:43.523;0:28.827;282.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;9;1:48.935;0;;33.134;0;47.175;0;28.626;0;195.0;15:59.214;12:16:25.986;0:33.134;0:47.175;0:28.626;282.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;10;1:45.079;0;;32.925;0;43.650;0;28.504;0;202.2;17:44.293;12:18:11.065;0:32.925;0:43.650;0:28.504;283.5;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;11;1:45.200;0;;32.051;0;44.497;0;28.652;0;201.9;19:29.493;12:19:56.265;0:32.051;0:44.497;0:28.652;282.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;12;1:42.993;0;;31.913;0;42.824;0;28.256;0;206.3;21:12.486;12:21:39.258;0:31.913;0:42.824;0:28.256;284.2;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;13;1:43.645;0;;31.790;0;43.233;0;28.622;0;205.0;22:56.131;12:23:22.903;0:31.790;0:43.233;0:28.622;283.5;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;14;1:44.553;0;;31.790;0;44.178;0;28.585;0;203.2;24:40.684;12:25:07.456;0:31.790;0:44.178;0:28.585;282.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;15;1:45.740;0;;32.953;0;44.278;0;28.509;0;200.9;26:26.424;12:26:53.196;0:32.953;0:44.278;0:28.509;282.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;16;1:45.432;0;;31.919;0;44.184;0;29.329;0;201.5;28:11.856;12:28:38.628;0:31.919;0:44.184;0:29.329;284.2;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;17;1:47.128;0;;33.934;0;44.854;0;28.340;0;198.3;29:58.984;12:30:25.756;0:33.934;0:44.854;0:28.340;282.7;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;18;1:42.903;0;;31.912;0;42.896;0;28.095;0;206.4;31:41.887;12:32:08.659;0:31.912;0:42.896;0:28.095;283.5;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
