NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;2:51.533;0;;23.984;0;51.828;0;1:35.721;0;89.3;2:51.533;11:01:14.737;0:23.984;0:51.828;1:35.721;142.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;2;1:47.445;0;;29.090;0;30.763;0;47.592;0;152.9;4:38.978;11:03:02.182;0:29.090;0:30.763;0:47.592;237.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;3;1:39.226;0;;21.594;0;30.214;0;47.418;0;165.5;6:18.204;11:04:41.408;0:21.594;0:30.214;0:47.418;255.3;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;4;1:38.663;0;;21.421;0;30.255;0;46.987;0;166.5;7:56.867;11:06:20.071;0:21.421;0:30.255;0:46.987;240.5;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;5;1:37.951;0;;21.006;0;29.996;0;46.949;0;167.7;9:34.818;11:07:58.022;0:21.006;0:29.996;0:46.949;251.2;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;6;1:38.371;0;;21.273;0;29.917;0;47.181;0;167.0;11:13.189;11:09:36.393;0:21.273;0:29.917;0:47.181;253.5;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;7;1:38.026;0;;21.056;0;29.761;0;47.209;0;167.6;12:51.215;11:11:14.419;0:21.056;0:29.761;0:47.209;263.4;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;8;1:38.581;0;;21.020;0;30.082;0;47.479;0;166.6;14:29.796;11:12:53.000;0:21.020;0:30.082;0:47.479;265.4;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;9;1:39.461;0;;21.088;0;30.393;0;47.980;0;165.2;16:09.257;11:14:32.461;0:21.088;0:30.393;0:47.980;264.7;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;10;1:39.729;0;;21.128;0;31.011;0;47.590;0;164.7;17:48.986;11:16:12.190;0:21.128;0:31.011;0:47.590;260.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
