NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;3:10.548;0;;1:08.741;0;1:08.881;0;52.926;0;99.4;3:10.548;11:03:10.548;1:08.741;1:08.881;0:52.926;170.3;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;2;2:59.369;0;;59.748;0;1:09.035;0;50.586;0;109.4;6:09.917;11:06:09.917;0:59.748;1:09.035;0:50.586;165.6;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;3;2:57.120;0;;59.859;0;1:08.787;0;48.474;0;110.8;9:07.037;11:09:07.037;0:59.859;1:08.787;0:48.474;200.4;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;4;2:54.366;0;;58.172;0;1:08.057;0;48.137;0;112.5;12:01.403;11:12:01.403;0:58.172;1:08.057;0:48.137;175.6;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;5;2:56.543;0;;58.700;0;1:09.331;0;48.512;0;111.2;14:57.946;11:14:57.946;0:58.700;1:09.331;0:48.512;172.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;6;3:11.242;0;;57.408;0;1:09.543;0;1:04.291;0;102.6;18:09.188;11:18:09.188;0:57.408;1:09.543;1:04.291;147.7;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;7;54:51.277;0;;53:00.779;0;1:00.978;0;49.520;0;6.0;1:13:00.465;12:13:00.465;53:00.779;1:00.978;0:49.520;159.8;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;8;2:49.073;0;;55.446;0;1:07.788;0;45.839;0;116.1;1:15:49.538;12:15:49.538;0:55.446;1:07.788;0:45.839;227.4;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;9;2:12.146;0;;45.517;0;49.414;0;37.215;0;148.5;1:18:01.684;12:18:01.684;0:45.517;0:49.414;0:37.215;285.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;10;2:09.077;0;;44.032;0;48.264;1;36.781;1;152.0;1:20:10.761;12:20:10.761;0:44.032;0:48.264;0:36.781;293.5;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;11;2:09.548;0;;44.088;0;48.628;0;36.832;0;151.5;1:22:20.309;12:22:20.309;0:44.088;0:48.628;0:36.832;295.1;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;12;2:10.303;0;;43.805;1;48.789;0;37.709;0;150.6;1:24:30.612;12:24:30.612;0:43.805;0:48.789;0:37.709;291.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;13;2:14.331;0;;44.156;0;50.604;0;39.571;0;146.1;1:26:44.943;12:26:44.943;0:44.156;0:50.604;0:39.571;272.7;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;14;3:01.217;0;;46.875;0;1:03.527;0;1:10.815;0;108.3;1:29:46.160;12:29:46.160;0:46.875;1:03.527;1:10.815;80.3;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;15;3:20.659;0;;1:13.079;0;1:08.356;0;59.224;0;97.8;1:33:06.819;12:33:06.819;1:13.079;1:08.356;0:59.224;122.4;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;16;2:57.497;0;;1:01.275;0;1:07.666;0;48.556;0;110.6;1:36:04.316;12:36:04.316;1:01.275;1:07.666;0:48.556;195.3;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;17;3:14.280;0;;58.496;0;1:07.394;0;1:08.390;0;101.0;1:39:18.596;12:39:18.596;0:58.496;1:07.394;1:08.390;131.2;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;18;33:41.698;0;;31:52.197;0;1:00.082;0;49.419;0;9.7;2:13:00.294;13:13:00.294;31:52.197;1:00.082;0:49.419;184.3;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;19;3:06.938;0;B;58.404;0;1:04.173;0;1:04.361;0;105.0;2:16:07.232;13:16:07.232;0:58.404;1:04.173;1:04.361;166.4;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;20;3:10.733;0;;1:17.491;0;1:04.315;0;48.927;0;102.9;2:19:17.965;13:19:17.965;1:17.491;1:04.315;0:48.927;184.0;Neel JANI;0:00:27.548;LMP1;;Rebellion Racing;Rebellion;
1;1;21;2:50.002;0;;57.891;0;1:05.839;0;46.272;0;115.4;2:22:07.967;13:22:07.967;0:57.891;1:05.839;0:46.272;195.7;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;22;2:50.003;0;;57.785;0;1:04.547;0;47.671;0;115.4;2:24:57.970;13:24:57.970;0:57.785;1:04.547;0:47.671;187.5;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;23;2:47.726;0;;55.715;0;1:05.077;0;46.934;0;117.0;2:27:45.696;13:27:45.696;0:55.715;1:05.077;0:46.934;223.6;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;24;2:48.939;0;;56.832;0;1:04.965;0;47.142;0;116.2;2:30:34.635;13:30:34.635;0:56.832;1:04.965;0:47.142;180.3;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;25;2:56.631;0;B;57.684;0;1:04.873;0;54.074;0;111.1;2:33:31.266;13:33:31.266;0:57.684;1:04.873;0:54.074;201.5;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;3;26;3:32.876;0;;1:46.188;0;53.335;0;53.353;0;92.2;2:37:04.142;13:37:04.142;1:46.188;0:53.335;0:53.353;126.9;Bruno SENNA;0:00:59.717;LMP1;;Rebellion Racing;Rebellion;
1;3;27;2:49.520;0;;54.197;0;55.250;0;1:00.073;0;115.8;2:39:53.662;13:39:53.662;0:54.197;0:55.250;1:00.073;110.4;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;28;2:41.661;0;;50.912;0;57.108;0;53.641;0;121.4;2:42:35.323;13:42:35.323;0:50.912;0:57.108;0:53.641;178.5;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;29;2:43.507;0;;52.498;0;56.735;0;54.274;0;120.0;2:45:18.830;13:45:18.830;0:52.498;0:56.735;0:54.274;99.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;30;2:45.557;0;;53.018;0;56.473;0;56.066;0;118.5;2:48:04.387;13:48:04.387;0:53.018;0:56.473;0:56.066;144.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;31;2:45.858;0;;51.200;0;57.565;0;57.093;0;118.3;2:50:50.245;13:50:50.245;0:51.200;0:57.565;0:57.093;140.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;32;2:35.620;0;;50.743;0;55.097;0;49.780;0;126.1;2:53:25.865;13:53:25.865;0:50.743;0:55.097;0:49.780;137.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;33;2:10.445;0;;43.913;0;48.810;0;37.722;0;150.4;2:55:36.310;13:55:36.310;0:43.913;0:48.810;0:37.722;278.4;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;34;2:16.393;0;;44.475;0;48.929;0;42.989;0;143.9;2:57:52.703;13:57:52.703;0:44.475;0:48.929;0:42.989;229.8;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;35;3:13.845;0;;55.329;0;1:08.733;0;1:09.783;0;101.2;3:01:06.548;14:01:06.548;0:55.329;1:08.733;1:09.783;91.8;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;36;2:55.940;0;;1:04.888;0;1:04.487;0;46.565;0;111.5;3:04:02.488;14:04:02.488;1:04.888;1:04.487;0:46.565;204.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;37;2:46.095;0;;55.722;0;1:04.689;0;45.684;0;118.1;3:06:48.583;14:06:48.583;0:55.722;1:04.689;0:45.684;181.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;38;2:09.924;0;;44.553;0;48.190;0;37.181;0;151.0;3:08:58.507;14:08:58.507;0:44.553;0:48.190;0:37.181;288.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;39;2:07.368;0;;43.080;0;47.751;0;36.537;0;154.1;3:11:05.875;14:11:05.875;0:43.080;0:47.751;0:36.537;298.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;40;2:06.525;0;;43.022;0;47.368;1;36.135;0;155.1;3:13:12.400;14:13:12.400;0:43.022;0:47.368;0:36.135;297.5;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;41;2:05.968;0;;42.346;1;47.649;0;35.973;1;155.8;3:15:18.368;14:15:18.368;0:42.346;0:47.649;0:35.973;298.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;42;2:06.611;0;;42.452;0;47.518;0;36.641;0;155.0;3:17:24.979;14:17:24.979;0:42.452;0:47.518;0:36.641;299.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;43;2:10.264;0;;43.150;0;50.279;0;36.835;0;150.6;3:19:35.243;14:19:35.243;0:43.150;0:50.279;0:36.835;299.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
