TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1542510012;11/18/2018 3:00:12 AM;11.4444;13.3333;92;1019.78;9.65606;26;
1542510023;11/18/2018 3:00:23 AM;11.4444;13.3333;92;1019.68;5.30467;11;
1542510077;11/18/2018 3:01:17 AM;11.4444;13.3333;92;1019.78;8.04672;27;
1542510083;11/18/2018 3:01:23 AM;11.4444;13.3333;92;1019.68;5.30467;27;
1542510141;11/18/2018 3:02:21 AM;11.5;13.3333;92;1019.75;6.43738;19;
1542510143;11/18/2018 3:02:23 AM;11.4444;13.3333;92;1019.68;4.24374;23;
1542510203;11/18/2018 3:03:23 AM;11.5;13.3333;93;1019.64;5.30467;13;
1542510208;11/18/2018 3:03:28 AM;11.5;13.3333;93;1019.75;8.04672;26;
1542510263;11/18/2018 3:04:23 AM;11.4444;13.3333;92;1019.61;9.54841;346;
1542510271;11/18/2018 3:04:31 AM;11.5;13.3333;93;1019.75;6.43738;27;
1542510323;11/18/2018 3:05:23 AM;11.5;13.3333;92;1019.57;6.3656;9;
1542510338;11/18/2018 3:05:38 AM;11.4444;13.3333;92;1019.68;9.65606;15;
1542510383;11/18/2018 3:06:23 AM;11.5;13.3333;92;1019.51;4.24374;21;
1542510403;11/18/2018 3:06:43 AM;11.5;13.3333;92;1019.65;12.8748;5;
1542510444;11/18/2018 3:07:24 AM;11.5;13.3333;92;1019.54;5.30467;17;
1542510468;11/18/2018 3:07:48 AM;11.5;13.3333;92;1019.65;11.2654;5;
1542510504;11/18/2018 3:08:24 AM;11.5;13.3333;92;1019.47;7.42654;26;
1542510533;11/18/2018 3:08:53 AM;11.5;13.3333;92;1019.58;6.43738;5;
1542510564;11/18/2018 3:09:24 AM;11.5;13.3333;93;1019.44;3.1828;343;
1542510597;11/18/2018 3:09:57 AM;11.5;13.3333;93;1019.54;9.65606;355;
1542510624;11/18/2018 3:10:24 AM;11.5;13.3333;93;1019.47;3.1828;9;
1542510663;11/18/2018 3:11:03 AM;11.5;13.3333;93;1019.58;6.43738;22;
1542510684;11/18/2018 3:11:24 AM;11.5;13.3333;93;1019.4;3.1828;351;
1542510728;11/18/2018 3:12:08 AM;11.5;13.3333;93;1019.51;4.82803;5;
1542510744;11/18/2018 3:12:24 AM;11.5;13.3333;93;1019.34;4.24374;5;
1542510794;11/18/2018 3:13:14 AM;11.5556;13.3333;93;1019.48;6.43738;5;
1542510804;11/18/2018 3:13:24 AM;11.5556;13.3333;93;1019.37;3.1828;360;
1542510859;11/18/2018 3:14:19 AM;11.5556;13.3333;93;1019.44;9.65606;36;
1542510864;11/18/2018 3:14:24 AM;11.5556;13.3333;93;1019.3;6.3656;36;
1542510924;11/18/2018 3:15:24 AM;11.5556;13.3333;93;1019.48;6.43738;17;
1542510984;11/18/2018 3:16:24 AM;11.5556;13.3333;93;1019.3;5.30467;24;
1542510989;11/18/2018 3:16:29 AM;11.5556;13.3333;93;1019.48;6.43738;13;
1542511045;11/18/2018 3:17:25 AM;11.5556;13.3333;93;1019.34;4.24374;5;
1542511054;11/18/2018 3:17:34 AM;11.5556;13.3333;93;1019.54;8.04672;11;
1542511105;11/18/2018 3:18:25 AM;11.5556;13.3333;93;1019.37;3.1828;19;
1542511119;11/18/2018 3:18:39 AM;11.5556;13.3333;93;1019.48;8.04672;5;
1542511165;11/18/2018 3:19:25 AM;11.5556;13.3333;93;1019.4;6.3656;15;
1542511184;11/18/2018 3:19:44 AM;11.5556;13.3333;93;1019.44;4.82803;14;
1542511225;11/18/2018 3:20:25 AM;11.5556;13.3333;93;1019.34;6.3656;29;
