NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;3;1;1:55.075;0;;37.366;0;39.267;0;38.442;0;188.3;1:55.075;16:01:11.436;0:37.366;0:39.267;0:38.442;288.5;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;2;1:48.789;0;;32.474;0;38.438;0;37.877;0;199.2;3:43.864;16:03:00.225;0:32.474;0:38.438;0:37.877;290.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;3;1:50.064;0;;31.993;0;38.306;0;39.765;0;196.9;5:33.928;16:04:50.289;0:31.993;0:38.306;0:39.765;283.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;4;1:51.599;0;;32.399;0;38.716;0;40.484;0;194.2;7:25.527;16:06:41.888;0:32.399;0:38.716;0:40.484;281.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;5;10:17.706;0;;32.887;0;38.331;0;9:06.488;0;35.1;17:43.233;16:16:59.594;0:32.887;0:38.331;9:06.488;225.1;Bruno SENNA;0:08:30.190;LMP1;;Rebellion Racing;Rebellion;
1;3;6;1:49.622;0;;33.380;0;37.747;0;38.495;0;197.7;19:32.855;16:18:49.216;0:33.380;0:37.747;0:38.495;277.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;7;1:46.387;0;;31.787;0;37.421;0;37.179;0;203.7;21:19.242;16:20:35.603;0:31.787;0:37.421;0:37.179;287.8;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;8;1:46.364;0;;31.457;0;37.822;0;37.085;0;203.7;23:05.606;16:22:21.967;0:31.457;0:37.822;0:37.085;289.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;9;1:50.469;0;;33.256;0;38.024;0;39.189;0;196.1;24:56.075;16:24:12.436;0:33.256;0:38.024;0:39.189;287.8;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;10;1:46.159;0;;31.584;0;37.618;0;36.957;0;204.1;26:42.234;16:25:58.595;0:31.584;0:37.618;0:36.957;289.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;11;1:45.938;0;;31.444;0;37.535;0;36.959;0;204.5;28:28.172;16:27:44.533;0:31.444;0:37.535;0:36.959;289.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;12;1:48.801;0;;32.416;0;38.335;0;38.050;0;199.2;30:16.973;16:29:33.334;0:32.416;0:38.335;0:38.050;293.4;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;13;1:50.786;0;;33.351;0;39.151;0;38.284;0;195.6;32:07.759;16:31:24.120;0:33.351;0:39.151;0:38.284;277.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;14;1:45.554;0;;31.683;0;37.036;0;36.835;0;205.3;33:53.313;16:33:09.674;0:31.683;0:37.036;0:36.835;289.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;15;1:44.965;0;;31.159;0;37.012;1;36.794;0;206.4;35:38.278;16:34:54.639;0:31.159;0:37.012;0:36.794;289.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;16;1:45.764;0;;31.029;1;37.703;0;37.032;0;204.9;37:24.042;16:36:40.403;0:31.029;0:37.703;0:37.032;290.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;17;1:46.521;0;;32.438;0;37.283;0;36.800;0;203.4;39:10.563;16:38:26.924;0:32.438;0:37.283;0:36.800;289.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;18;1:48.874;0;;33.883;0;37.858;0;37.133;0;199.0;40:59.437;16:40:15.798;0:33.883;0:37.858;0:37.133;289.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;19;1:45.077;0;;31.204;0;37.144;0;36.729;1;206.2;42:44.514;16:42:00.875;0:31.204;0:37.144;0:36.729;289.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;20;1:45.703;0;;31.105;0;37.305;0;37.293;0;205.0;44:30.217;16:43:46.578;0:31.105;0:37.305;0:37.293;292.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;21;1:49.475;0;;31.640;0;39.239;0;38.596;0;197.9;46:19.692;16:45:36.053;0:31.640;0:39.239;0:38.596;281.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;22;1:51.438;0;;32.112;0;40.103;0;39.223;0;194.4;48:11.130;16:47:27.491;0:32.112;0:40.103;0:39.223;289.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;23;1:49.433;0;;33.922;0;37.667;0;37.844;0;198.0;50:00.563;16:49:16.924;0:33.922;0:37.667;0:37.844;290.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;24;1:48.647;0;;31.549;0;37.567;0;39.531;0;199.4;51:49.210;16:51:05.571;0:31.549;0:37.567;0:39.531;277.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;25;1:45.869;0;;31.183;0;37.291;0;37.395;0;204.7;53:35.079;16:52:51.440;0:31.183;0:37.291;0:37.395;289.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;26;1:46.467;0;;32.433;0;37.104;0;36.930;0;203.5;55:21.546;16:54:37.907;0:32.433;0:37.104;0:36.930;290.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;2;27;3:01.520;0;;31.045;0;37.187;0;1:53.288;0;119.4;58:23.066;16:57:39.427;0:31.045;0:37.187;1:53.288;223.7;Mathias BECHE;0:01:18.847;LMP1;;Rebellion Racing;Rebellion;
1;2;28;1:46.812;0;;32.863;0;37.209;0;36.740;0;202.9;1:00:09.878;16:59:26.239;0:32.863;0:37.209;0:36.740;287.8;Mathias BECHE;;LMP1;;Rebellion Racing;Rebellion;
1;2;29;1:44.823;0;;31.288;0;36.923;0;36.612;0;206.7;1:01:54.701;17:01:11.062;0:31.288;0:36.923;0:36.612;288.5;Mathias BECHE;;LMP1;;Rebellion Racing;Rebellion;
1;2;30;1:48.538;0;;31.256;0;37.895;0;39.387;0;199.6;1:03:43.239;17:02:59.600;0:31.256;0:37.895;0:39.387;281.9;Mathias BECHE;;LMP1;;Rebellion Racing;Rebellion;
1;2;31;1:48.822;0;;31.987;0;38.685;0;38.150;0;199.1;1:05:32.061;17:04:48.422;0:31.987;0:38.685;0:38.150;289.1;Mathias BECHE;;LMP1;;Rebellion Racing;Rebellion;
